  PID User     Command                         Swap      USS      PSS      RSS 
 2699 btwl     /usr/libexec/xdg-desktop-po     3636     7676     8092    21340 
78228 btwl     /usr/bin/gnome-calendar --g    11160     7096     8145    26296 
 2494 btwl     /usr/libexec/ibus-extension     5272     8656     8953    21896 
 2249 btwl     /usr/libexec/xdg-desktop-po     2940     8648     9061    21504 
 2764 btwl     /usr/libexec/gsd-xsettings     11800     8764     9437    25464 
 2436 btwl     /usr/libexec/evolution-data    10000     8208     9497    28512 
312625 btwl     /usr/lib/update-notifier/sy     1988    10980    12451    30792 
472464 btwl     /home/btwl/.vscode-server/c        0    14120    14120    14124 
 2231 btwl     /snap/snapd-desktop-integra     3332    15248    15588    15932 
481445 btwl     /usr/bin/python3 /usr/bin/s        0    17300    18203    23272 
472183 btwl     /home/btwl/.vscode-server/b        0    17916    25027    56420 
 2766 btwl     gjs /usr/share/gnome-shell/    15832    18360    26848    54100 
205488 btwl     /usr/libexec/gnome-shell-po    26172    29928    32464    58060 
173929 btwl     gnome-control-center           21768    30360    33106    58124 
472196 btwl     /home/btwl/.vscode-server/b        0    32992    40317    72348 
 2593 btwl     /usr/bin/Xwayland :0 -rootl    20616    41304    41594    48248 
472516 btwl     /home/btwl/.vscode-server/e        0    43868    43868    43872 
472505 btwl     /home/btwl/.vscode-server/b        0    53112    60210    91496 
205532 btwl     /usr/lib/x86_64-linux-gnu/w     9216    66296    67742    87864 
 2650 btwl     /usr/libexec/tracker-miner-     4520    68456    69018    79216 
226725 btwl     /usr/bin/python3 /usr/bin/u    24532    71240    75485   101548 
472110 btwl     /home/btwl/.vscode-server/b        0    80700    89268   122804 
 1810 btwl     /usr/bin/gnome-shell          154236    90296   100982   134144 
58469 btwl     /home/btwl/.cache/dfinity/v    78788   128392   128431   131672 
472172 btwl     /home/btwl/.vscode-server/b        0   324408   332976   366508 
